nid,conv_chars,categoria_llm,candidato_credito,razon_llm
5068063289,109,Otro / no claro,False,No hay información suficiente sobre el motivo de la conversación.
7495878215,3931,Otro / no claro,False,El cliente está revisando el precio y publicando en otro lugar.
8616533688,2161,Otro / no claro,False,El cliente no está seguro del valor que pide y menciona confusión sobre el área del inmueble.
12558176356,4000,Necesita liquidez urgente,True,Tiene hipoteca y deudas pendientes
16165864793,4000,Necesita liquidez urgente,True,tiene una deuda que necesita resolver
16430218675,231,Otro / no claro,False,No hay información suficiente sobre su intención de vender.
16878498445,4000,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
17652356537,4000,Necesita liquidez urgente,True,la necesito pero de carácter super urgente
18610633106,2999,Otro / no claro,False,No se menciona un motivo claro para vender el inmueble.
20106301090,139,Otro / no claro,False,No hay información suficiente sobre el motivo del cliente.
21210909105,4000,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
22944713223,4000,Otro / no claro,False,El cliente está ocupado y tiene vueltas personales.
23300829500,1400,Quiere comprar otro inmueble,False,Está esperando un mejor valor para vender y comprar otro
32018768293,171,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
32032595211,4000,Quiere comprar otro inmueble,False,Quiero con la venta apto comprar una casa en un conjunto
32241636769,3962,Otro / no claro,False,No se menciona un motivo claro para la venta.
32655563565,4000,Cambio de vivienda,False,Buscan algo más cerca de todo
33450350007,4000,Otro / no claro,False,El cliente tiene dudas sobre el valor de su inmueble y está en proceso de agendar una visita.
33630811945,4000,Otro / no claro,False,No se menciona un motivo claro para la venta.
33901098654,163,Otro / no claro,False,Motivo ambiguo o sin información suficiente
34103730854,3089,Necesita liquidez urgente,True,Necesita urgentemente de tu colaboración
34142871348,2078,Cambio personal o familiar,False,Problemas con el inmueble por filtraciones
34485083049,4000,Otro / no claro,False,Está evaluando la oferta y no ha decidido vender aún.
34608800026,498,Otro / no claro,False,No hay información suficiente sobre el motivo del cliente.
34727010320,4000,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
34915484293,1631,Otro / no claro,False,Desconfianza en la propuesta y no quieren seguir con el proceso.
35771071537,4000,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
36294872503,4000,Otro / no claro,False,El proceso de compra se detuvo y se sugiere vender el apartamento.
36649172016,4000,Necesita liquidez urgente,True,mencionó un embargo
36766800001,4000,Otro / no claro,False,No se menciona un motivo claro para vender o no vender el inmueble.
37528939181,4000,Necesita liquidez urgente,True,tiene un embargo y problemas con el crédito
37995147392,4000,Quiere comprar otro inmueble,False,Necesita comprar otro antes de que nazca su hijo
38258491158,774,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
38314612526,835,Otro / no claro,False,No hay información suficiente sobre la intención de vender o conservar el inmueble.
38612439111,346,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
39019748632,4000,Necesita liquidez urgente,True,Están a paz y salvo pero tienen deudas con mora.
39501458451,1485,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
39609820694,629,Otro / no claro,False,No se menciona un motivo específico para vender.
39693542443,263,Otro / no claro,False,No hay información suficiente sobre la intención del cliente.
39708643716,1658,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
39765575811,2276,Otro / no claro,False,Está enfocada en resolver un impase con la inmobiliaria antes de vender.
41361608982,4000,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
42900616448,412,Otro / no claro,False,No hay información suficiente sobre el motivo del cliente.
43385380615,3910,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
43631522817,1273,Cambio personal o familiar,False,Tiene hijos menores de edad y busca sustituir el patrimonio.
44780461890,1600,Otro / no claro,False,No está interesada en continuar con la venta del inmueble.
44870825067,2694,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
44930136954,1165,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
45038465646,985,Otro / no claro,False,El cliente está considerando opciones de venta pero no se menciona un motivo claro para vender.
45281505548,2911,Otro / no claro,False,El cliente no está interesado en vender en este momento.
45421608032,4000,Otro / no claro,False,No se especifica un motivo claro para la venta.
46631019101,1296,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
46661322916,450,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
47271666524,4000,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
48136402504,4000,Otro / no claro,False,No se menciona un motivo claro para vender el inmueble.
48474639903,4000,Otro / no claro,False,No se menciona un motivo claro para la venta.
48509022722,4000,Otro / no claro,False,El cliente está esperando la entrega del apartamento arrendado.
48552349711,3636,Otro / no claro,False,El cliente no está convencido con la oferta recibida.
48735411212,1738,Mudanza / cambio de ciudad,False,tú sabes que yo me tengo que ir ya casi de acá de bogotá
48779011512,1176,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
48954164914,1105,Otro / no claro,False,No se menciona un motivo claro para vender.
49084751450,1873,Otro / no claro,False,No se menciona un motivo específico para vender el inmueble.
49533087018,762,Otro / no claro,False,No se menciona un motivo específico para la venta.
50314460820,4000,Otro / no claro,False,No se especifica el motivo de no firmar el contrato.
50617038943,606,Otro / no claro,False,No hay información suficiente sobre el interés en vender.
50880639381,1777,Otro / no claro,False,No se menciona un motivo claro para vender el inmueble.
51089323884,4000,Necesita liquidez urgente,True,No pueden asumir más gastos y buscan cerrar la venta rápidamente.
51116981036,3538,Necesita liquidez urgente,True,tiene hipoteca con banco de Bogotá
51302217791,4000,Cambio personal o familiar,False,"Preocupante la situación, menciona problemas con el predio."
51507337832,4000,Otro / no claro,False,No se menciona un motivo claro para vender o no vender el inmueble.
52029428776,1156,Otro / no claro,False,No está interesado en vender por el precio ofrecido
52061014652,2087,Otro / no claro,False,No se especifica un motivo claro para la venta del inmueble.
52062631976,664,Otro / no claro,False,No hay información suficiente sobre el motivo de la conversación.
52268581794,2952,Otro / no claro,False,No se menciona un motivo claro para vender el inmueble.
52834831432,432,Cambio personal o familiar,False,Fallecimiento de una sobrina y apoyo a la familia
53118151183,853,Otro / no claro,False,El inmueble está arrendado
53266009959,2388,Otro / no claro,False,No se menciona un motivo claro para vender o no vender el inmueble.
53564493918,3058,Otro / no claro,False,No está interesada porque le ofrecen muy poco por el apartamento.
53568018831,640,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
53762834840,4000,Otro / no claro,False,No se menciona un motivo claro para vender o no vender.
53855430725,4000,Otro / no claro,False,El cliente está en proceso de venta pero tiene dudas sobre el contrato.
54086924977,604,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
54109062467,1102,Otro / no claro,False,No se menciona un motivo claro para la venta del inmueble.
54116235686,995,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
54311589470,1231,Otro / no claro,False,No se menciona un motivo claro para la venta.
54327021988,4000,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
54363201674,1048,Otro / no claro,False,No se menciona un motivo claro para la venta.
54426453805,1903,Otro / no claro,False,No hay información suficiente sobre la intención de vender.
54460421018,4000,Cambio personal o familiar,False,El inquilino trabaja todo el día y afecta la programación de visitas.
54502510611,1699,Otro / no claro,False,No se especifica el motivo de la decisión de no vender.
54604989366,1126,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
54621216848,511,Otro / no claro,False,No hay información suficiente sobre la intención del cliente.
54696450427,4000,Otro / no claro,False,No se menciona un motivo específico para vender.
54770831198,3730,Otro / no claro,False,No se menciona un motivo claro para la venta del inmueble.
55215640185,611,Otro / no claro,False,No se menciona un motivo claro para vender o no vender.
55297500939,4000,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
55305994895,1491,Otro / no claro,False,No se menciona un motivo claro para vender.
55371768576,2505,Necesita liquidez urgente,True,Requiere venderlo con prontitud debido a un embargo vigente.
55462252121,875,Otro / no claro,False,No hay información suficiente sobre el motivo del cliente.
55506907425,1092,Otro / no claro,False,No se proporciona información suficiente sobre el motivo de la venta.
55563231866,542,Otro / no claro,False,Consulta sobre un embargo en el inmueble
55577119513,3201,Quiere comprar otro inmueble,False,Voy a comprar pero en un año
55624635276,1366,Otro / no claro,False,No se especifica un motivo claro para la venta.
55702732692,773,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
55714585127,1436,Mudanza / cambio de ciudad,False,Liliana salió de la ciudad.
55733704870,93,Otro / no claro,False,No hay información suficiente sobre el motivo de la conversación.
55845477642,4000,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
55936919724,171,Otro / no claro,False,No hay información suficiente sobre el motivo de venta.
55939565750,2613,Otro / no claro,False,"El cliente está ansiosa por que termine el proceso, pero no se menciona un motivo claro para la venta."
56015482801,2138,Otro / no claro,False,No hay información suficiente sobre el motivo de la venta.
56039579688,709,Otro / no claro,False,No hay información suficiente sobre la intención de venta.
