nid,motivo_original,categoria_llm,candidato_credito,razon_llm
5068063289,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
7495878215,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
8616533688,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
12558176356,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
13602322029,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
13707476095,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
16165864793,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
16430218675,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
16878498445,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
17341106235,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
17652356537,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
18114642555,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
18610633106,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
20106301090,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
21210909105,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
22944713223,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
23300829500,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
29009110646,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
29037454132,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
29598888077,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
29724649770,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
32018768293,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
32032595211,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
32241636769,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
32655563565,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
33450350007,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
33630811945,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
33901098654,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
34103730854,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
34142871348,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
34485083049,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
34608800026,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
34727010320,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
34915484293,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
35771071537,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
36294872503,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
36649172016,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
36766800001,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
37528939181,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
37995147392,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
38258491158,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
38314612526,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
38612439111,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
39019748632,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
39501458451,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
39609820694,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
39693542443,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
39708643716,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
39765575811,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
41361608982,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
42900616448,,Sin motivo cargado,False,El recepcionista no registró motivo para este lead.
